word, uni_lemma, avg_surprisal
airplane,airplane,10.125377450670515
all,all,4.651960581797535
animal,animal,8.399266709672643
another,another,5.830805839892633
apple,apple,8.533369183540344
arm,arm,10.249016807192849
asleep,asleep,13.848234335581461
aunt,aunt,13.211810111999512
away,away,5.1547422854699825
baby,baby,5.2061321608647955
babysitter,babysitter,12.100494384765625
back,back (location),5.6771702673928495
bad,bad,7.882168852049729
ball,ball,8.000414493037205
balloon,balloon,9.636396090189615
banana,banana,10.262203693389893
bath,bath,12.686559383685772
bathroom,bathroom,12.457274216871996
bathtub,bathtub,13.590912818908691
beach,beach,12.684636202725498
beads,beads,NA
bear,bear,5.38962864112854
bed,bed,7.313223127885299
bedroom,bedroom,12.148115062713623
bee,bee,12.329925103621049
bib,bib,NA
bicycle,bicycle,14.085440063476563
big,big,4.115894104305067
bird,bird,7.150222234427929
bite,bite,10.434510848101448
blanket,blanket,8.963764222462972
block,block,13.74997615814209
blow,blow,9.49788522720337
blue,blue,7.248933394152419
book,book,4.107210288699876
boots,boots,10.134899832985617
bottle,bottle,13.867626984914144
bowl,bowl,9.304736357468824
box,box,7.7924834251403805
boy,boy,8.010037754521225
bread,bread,9.21978452205658
break,break,11.5261812210083
breakfast,breakfast,6.840989154927871
bring,bring,5.822656883912928
broken,broken,10.835318292890276
broom,broom,11.521528244018555
brother,brother,8.808577972909678
brush,brush (object),9.205109741376793
bubbles,bubbles,12.30695863870474
bug,bug,13.149864315986633
bump,bump,11.456859397888184
bunny,bunny,7.532255194403908
bus,bus,13.762404282887777
butter,butter,10.04976804439838
butterfly,butterfly,6.4513372433813
button,button,8.37517536387724
bye,bye,4.798842456803393
cake,cake,11.490971198448769
candy,candy,10.311107820080172
car,car,6.639317400315228
careful,careful,8.956810386092574
carrots,carrots,14.144354248046875
cat,cat,7.494792355431451
cereal,cereal,10.350686417685615
chair,chair,7.744001184191022
cheek,cheek,11.916948795318604
cheerios,cheerios,NA
cheese,cheese,13.34659323325524
chicken,chicken (animal),13.401782989501953
chicken,chicken (food),13.401782989501953
child,child,14.682356357574463
church,church,NA
clean,clean (action),7.034552271301682
clean,clean (description),7.034552271301682
clock,clock,10.424339056015015
close,close,10.920452444893973
coat,coat,13.757141480079063
cockadoodledoo,cockadoodledoo,15.075135707855225
coffee,coffee,10.810037439519709
cold,cold,7.7359293003877
comb,comb (object),14.336575984954834
cookie,cookie,12.117648720741272
couch,couch,9.426771545410157
cow,cow,8.714010568765493
cracker,cracker,12.359660784403482
crib,crib,14.920308113098145
cry,cry,14.019201278686523
cup,cup,8.077665487925211
cute,cute,6.752557611465454
daddy,daddy,5.887992911286407
dance,dance,10.941703955332438
dark,dark,10.431477122836643
day,day,5.740801652272542
deer,deer,14.606103897094727
diaper,diaper,9.818491599139046
dinner,dinner,11.273801326751709
dirty,dirty,7.859441924095154
dish,dish,14.288286209106445
dog,dog,8.607333648495558
doll,doll,9.51586217880249
dont,don't,3.2646520942649584
donkey,donkey,15.837141831715902
door,door,8.449061491910149
down,down,4.408003605329073
draw,draw,6.976503891731376
drawer,drawer,10.08103422685103
dress,dress (object),8.669041121447528
drink,drink (action),7.998866146261042
drink,drink (beverage),7.998866146261042
drive,drive,14.933598279953003
dry,dry (description),11.944372574488321
duck,duck,9.210409779702463
ear,ear,9.930590391159058
eat,eat,5.93396948490824
egg,egg,10.120801248048481
elephant,elephant,9.057942152023315
empty,empty,13.881845156351725
eye,eye,7.267363690041207
face,face,6.197925321757793
fall,fall,9.54980681492732
fast,fast,9.301626873016357
feed,feed,13.624010920524597
fine,fine,8.714962528597924
finger,finger,10.058575100368923
finish,finish,6.226801214546993
firetruck,firetruck,NA
fish,fish (animal),7.860089582555434
fish,fish (food),7.860089582555434
flower,flower,8.518500697228216
food,food,8.61547015263484
foot,foot,7.038467295029584
fork,fork,NA
frog,frog,11.152362966537476
garage,garage,NA
garden,garden,9.234536064995659
gentle,gentle,15.648540019989014
get,get,3.1928190559724463
giraffe,giraffe,8.685690272938121
girl,girl,3.5550565148188062
give,give,4.843697889762766
glass,glass,16.563634872436523
glasses,glasses,14.234557867050171
go,go,3.331909756681059
good,good,4.251739924883807
goose,goose,10.133689641952515
grandma,grandma,8.162989717848758
grandpa,grandpa,10.969934610220102
grrr,grrr,NA
hair,hair,5.975804731443331
hammer,hammer,NA
hand,hand,7.3882856369018555
happy,happy,8.337764043486521
hard,hard,6.43800049293332
hat,hat,5.769102573394775
head,head,5.882528650587884
