word, uni_lemma, avg_surprisal
airplane,airplane,NA
all,all,5.211134848969706
animal,animal,5.550680806559901
another,another,4.663885601361593
apple,apple,8.08730036020279
arm,arm,5.305039733063941
asleep,asleep,13.46362450543572
aunt,aunt,NA
away,away,5.339722855671032
baby,baby,5.308063315821218
babysitter,babysitter,NA
back,back (location),4.109501531401884
bad,bad,14.141809940338135
ball,ball,6.6015339797397825
balloon,balloon,12.432205518086752
banana,banana,9.75727596282959
bath,bath,11.669183731079102
bathroom,bathroom,13.839954376220703
bathtub,bathtub,NA
beach,beach,17.191736698150635
beads,beads,NA
bear,bear,8.527965675700795
bed,bed,7.911957895054536
bedroom,bedroom,14.367306900024413
bee,bee,13.811003684997559
bib,bib,16.219263076782227
bicycle,bicycle,NA
big,big,4.382119386859194
bird,bird,9.352986335754395
bite,bite,5.80650553832183
blanket,blanket,14.00073790550232
block,block,9.000211477279663
blow,blow,8.331987120070547
blue,blue,6.237756442050545
book,book,5.820517359839545
boots,boots,14.922809600830078
bottle,bottle,13.490885162353516
bowl,bowl,11.200289090474447
box,box,3.546760660514497
boy,boy,2.524665518317904
bread,bread,16.842132568359375
break,break,5.179555614789327
breakfast,breakfast,12.667003631591797
bring,bring,7.222285805916299
broken,broken,5.195402100534722
broom,broom,NA
brother,brother,NA
brush,brush (object),16.014975452423094
bubbles,bubbles,NA
bug,bug,NA
bump,bump,9.60312557220459
bunny,bunny,NA
bus,bus,7.5905788230896
butter,butter,NA
butterfly,butterfly,10.688150723775228
button,button,8.764655232429504
bye,bye,13.113166400364467
cake,cake,5.957966660631114
candy,candy,NA
car,car,3.779378556554968
careful,careful,5.481289873317796
carrots,carrots,13.42546204158238
cat,cat,7.011219120025634
cereal,cereal,NA
chair,chair,6.28312023062455
cheek,cheek,12.026679992675781
cheerios,cheerios,NA
cheese,cheese,12.766442139943441
chicken,chicken (animal),9.897458189412168
chicken,chicken (food),9.897458189412168
child,child,7.8660186620859
church,church,15.33867495400565
clean,clean (action),13.182006581624348
