file,train_tokens,test_tokens,vocab_size
Abe,123325,160604,5709
Adam,117871,165278,4929
Alex,163516,49081,4709
Anne,141543,47741,3312
Aran,189523,46766,4708
Barbara,76909,9954,3578
Becky,103160,56993,2929
Carl,87907,66104,2574
Conor,82998,12407,4047
David,60729,7700,3291
Dominic,132605,47344,2957
Emily,23428,17508,2270
Emma,39570,25546,2671
Ethan,166087,40385,5317
Eve,59426,34071,2405
Gail,109207,41302,4276
Jimmy,30681,21411,2918
Joel,121296,42896,4590
John,84600,29297,3133
Lara,360416,170405,6739
Lily,370089,87580,10123
Liz,80200,39861,2932
Matt,145095,44651,4053
Michelle,70091,14652,3414
Naomi,54247,42817,3502
Nathaniel,100630,40731,5444
Nina,185309,99988,3678
Peter,143216,90510,3388
Roman,63172,45815,3247
Ross,164571,117258,6878
Ruth,139869,41952,3262
Sarah,188959,102590,6105
Seth,106574,30581,3159
Shem,134566,76942,6105
Thomas,1981183,538134,16262
Tow,46203,7557,2043
Trevor,35445,23717,2825
Violet,141482,33363,6398
Warren,119186,48498,3764
Will,1459,362,338
